date,review,cleaned_review
il y a 2 ans,"Sans doute l'un des pire BK de la région. J'ai dû attendre plus de 20 minutes pour avoir un Wrap, l'équipe était totalement désorganisée, tout était très long. Les 20 minutes d'attente m'ont permis d'assister à plusieurs ""spectacles"" de …",sans doute lun des pire bk de la region jai du attendre plus de minutes pour avoir un wrap lequipe etait totalement desorganisee tout etait tres long les minutes dattente mont permis dassister a plusieurs spectacles de
il y a un mois,"Super Burger King propre et on est vite servi. Super service Particulièrement Maguema qui est pro, à l'écoute et très sympathique.",super burger king propre et on est vite servi super service particulierement maguema qui est pro a lecoute et tres sympathique
il y a 3 mois,"Une honte. Nous mangeons un bout le soir du réveillon avant de partir en soirée, frites froides et dégueulasses et un vrai problème sur la viande. Les deux garçons avec qui j'étais ont pris un sandwich au poulet et se sont retrouvés …",une honte nous mangeons un bout le soir du reveillon avant de partir en soiree frites froides et degueulasses et un vrai probleme sur la viande les deux garcons avec qui jetais ont pris un sandwich au poulet et se sont retrouves
il y a 7 mois,"La pseudo parisienne que vous avez recruté qui bosse ici est irrespectueuse et ne bosse pas beaucoup… qu’elle retourne à Paris…
Il y a du monde et elle se permet de prendre sa pose pour prendre l’air et se …",la pseudo parisienne que vous avez recrute qui bosse ici est irrespectueuse et ne bosse pas beaucoup quelle retourne a paris il y a du monde et elle se permet de prendre sa pose pour prendre lair et se
il y a un mois,"Un chaleureux accueil,  belle ambiance, bonne qualité de la viande, bien fraîche, bel assaisonnement. IL y'a nette amélioration au niveau de la gestion des commandes.",un chaleureux accueil belle ambiance bonne qualite de la viande bien fraiche bel assaisonnement il ya nette amelioration au niveau de la gestion des commandes
il y a 11 mois,"Une vue exceptionnelle avec deux salle à l'étage, malheureusement les burgers étaient quasiment froid malgré que j'ai commandé sur place.
Du coup j'étais un peu déçu. Une étoile de plus la fois où j'y suis retourné les burgers étaient chauds.",une vue exceptionnelle avec deux salle a letage malheureusement les burgers etaient quasiment froid malgre que jai commande sur place du coup jetais un peu decu une etoile de plus la fois ou jy suis retourne les burgers etaient chauds
il y a 4 mois,"Agression de la part du vigile qui garde les escaliers car interdit de monter aux toilettes sans avoir commandé.  Porte avec code????
Honteux on vient pour se détendre et non pour se faire agressé. On lui a bien dit que l'on  voulait mangé. A fuir",agression de la part du vigile qui garde les escaliers car interdit de monter aux toilettes sans avoir commande porte avec code honteux on vient pour se detendre et non pour se faire agresse on lui a bien dit que lon voulait mange a fuir
il y a 6 mois,"Tata Mag une personne extraordinaire, excellente pour l’accueil, elle m’a bien accueilli mais pas que moi mais aussi les autres. Pendant que je mangeais, j’ai observé son comportement envers les autres, elle m’a tout de suite mis en …",tata mag une personne extraordinaire excellente pour laccueil elle ma bien accueilli mais pas que moi mais aussi les autres pendant que je mangeais jai observe son comportement envers les autres elle ma tout de suite mis en
il y a 3 mois,Y’avait pas 0 étoile donc j’en met une seul. J’ai du quitter mon taf et m’empêcher de voir mon fils grandir avant de recevoir ma commande tellement c’était long mais bon selon le gros videur à la queue de rat c’est psq ils sont meilleurs vu qu’ils sont franchisés.,yavait pas etoile donc jen met une seul jai du quitter mon taf et mempecher de voir mon fils grandir avant de recevoir ma commande tellement cetait long mais bon selon le gros videur a la queue de rat cest psq ils sont meilleurs vu quils sont franchises
il y a 2 mois,"Très bon restaurant.
Merci à tata Mag pour son accueil chaleureux et la rapidité de son service.",tres bon restaurant merci a tata mag pour son accueil chaleureux et la rapidite de son service
il y a 6 mois,"J'ai commandé un zen burger mais ou était la sauce, c'était trop sec immangeable.",jai commande un zen burger mais ou etait la sauce cetait trop sec immangeable
il y a un an,Bonne et heureuse année à l’équipe Burger King et Merci à Maguema pour l’accueil réserver entrant à une prochaine fois,bonne et heureuse annee a lequipe burger king et merci a maguema pour laccueil reserver entrant a une prochaine fois
