date,review,cleaned_review
04/2024,Rapide et bon. Les tables sont cependant souvent sales. a mrite de mettre une personne ddie au nettoyage des tables et du sol toute la journe.,rapide et bon les tables sont cependant souvent sales a mrite de mettre une personne ddie au nettoyage des tables et du sol toute la journe
04/2024,"Temps d attente long et non respect des spcifications donnes sur les burgers. Javais demand sans sauce  cause dintolrance il y avait de la sauce, je nai pas pu le manger, argent en lairLe brookie nest pas  la hauteur du prix",temps d attente long et non respect des spcifications donnes sur les burgers javais demand sans sauce cause dintolrance il y avait de la sauce je nai pas pu le manger argent en lairle brookie nest pas la hauteur du prix
04/2024,Commande passe via lapplication Uber Eats ce jour aux alentours de 16h10. La commande est arrive trs tardivement  18h09 changement de livreurs  deux reprises avec un gobelet en carton abm dans le fond. La boisson perce a inond,commande passe via lapplication uber eats ce jour aux alentours de h la commande est arrive trs tardivement h changement de livreurs deux reprises avec un gobelet en carton abm dans le fond la boisson perce a inond
01/2024,"BonjourHabitant proche de ce Burger King, jai rgulirement loccasion de my rendre.Pourtant mes expriences y sont catastrophiques.",bonjourhabitant proche de ce burger king jai rgulirement loccasion de my rendrepourtant mes expriences y sont catastrophiques
02/2024,Fastfood bond pour le djeuner.Il manque du personnel malgr que ceux prsents font leur maximum.Le dlai dattente est long et il manque des places assises.,fastfood bond pour le djeuneril manque du personnel malgr que ceux prsents font leur maximumle dlai dattente est long et il manque des places assises
03/2024,Une horreur sur 3 commandes en livraison 2 oublis dune partie de la commande et sur la dernire commande le sandwich command et Pay nest pas celui reu dans la commande. A la place dun double cheese Bacon XXL cest un cheeseburger qui,une horreur sur commandes en livraison oublis dune partie de la commande et sur la dernire commande le sandwich command et pay nest pas celui reu dans la commande a la place dun double cheese bacon xxl cest un cheeseburger qui
01/2024,Rupture de produits  pas de glace ni salade !. 25 minutes pour tre servi mais le dessert choisi pompote pour le menu enfant en rupture aussi malgr quil soit en choix aux bornes le seul  la place on nous propose une ptisserie bacs mis sur un comptoir  ct  dune poubelle !  Je ne reviendrai pas de si tt !,rupture de produits pas de glace ni salade minutes pour tre servi mais le dessert choisi pompote pour le menu enfant en rupture aussi malgr quil soit en choix aux bornes le seul la place on nous propose une ptisserie bacs mis sur un comptoir ct dune poubelle je ne reviendrai pas de si tt
04/2024,"le manager Monsieur Malik  il sest bien occup de nous lui et cest son quipe ils sont trs chaleureux, souriant et bien accueillant heja le top le service je recommande",le manager monsieur malik il sest bien occup de nous lui et cest son quipe ils sont trs chaleureux souriant et bien accueillant heja le top le service je recommande
01/2024,"Un accueil au top, jai t servie par lquipire Lena et je la remercie pour son amabilit et son dynamisme. Je recommande !!  si vous pouvez vous faire servir par elle cest encore mieux  .",un accueil au top jai t servie par lquipire lena et je la remercie pour son amabilit et son dynamisme je recommande si vous pouvez vous faire servir par elle cest encore mieux
05/2024,"Servi rapidement, plats encore bien chaud, juste attention aux toilettes qui glissent  louverture mais parce quelles sont propres",servi rapidement plats encore bien chaud juste attention aux toilettes qui glissent louverture mais parce quelles sont propres
04/2024,Je vois dconseille de prendre Uber eats plus de 2h pour nous livrer cest une honte !!! Nous payons 10 euros de port pour ne pas avoir un service acceptable et en plus cest livr froid .Je ne suis pas prt de recommander .,je vois dconseille de prendre uber eats plus de h pour nous livrer cest une honte nous payons euros de port pour ne pas avoir un service acceptable et en plus cest livr froid je ne suis pas prt de recommander
06/2024,"Le concept de fast food n est en aucun cas prsent on est plus sur du long food, l organisation est vraiment absente",le concept de fast food n est en aucun cas prsent on est plus sur du long food l organisation est vraiment absente
01/2024,"Excellente exprience chez Burger King!! Franchement restaurant clean trs propre une ambiance trs agrable, je tiens  remercier Lna quipire au top du top  lcoute, souriante et hyper serviable elle fait attention  que tout se passe",excellente exprience chez burger king franchement restaurant clean trs propre une ambiance trs agrable je tiens remercier lna quipire au top du top lcoute souriante et hyper serviable elle fait attention que tout se passe
05/2024,Personnels trs agrable et serviable. Peu de place pour manger  table mais sinon rien  redire.,personnels trs agrable et serviable peu de place pour manger table mais sinon rien redire
03/2024,Sympa avec les enfants. Qualit correct et ambiance sympa. Le service est correct aussi. Nous y allons rgulirement.,sympa avec les enfants qualit correct et ambiance sympa le service est correct aussi nous y allons rgulirement
02/2024,Premirement je tiens  prciser que je suis matte de peau et je porte un hijab.Je suis actuellement  Burger King.,premirement je tiens prciser que je suis matte de peau et je porte un hijabje suis actuellement burger king
06/2024,"Bonjour je suis juste pass devant Vendredi, en allant  lglise vanglique...Je ny suis pas retourne pour y manger depuis 2 mois,on y retournera pour manger en Avril...",bonjour je suis juste pass devant vendredi en allant lglise vangliqueje ny suis pas retourne pour y manger depuis moison y retournera pour manger en avril
06/2024,"Experience super cool et qualit tjr au rdv, aucun souci",experience super cool et qualit tjr au rdv aucun souci
10/2023,"Jai command King Fusion Lion et le menu King Size avec Veggie Steakhouse sur UberEat. Jai reu a... cest le menu Mdium Size. Et le burger nest pas vgtarien... donc je ne peux pas le manger, en plus, je nai pas reu King Fusion Lion... je suis du...",jai command king fusion lion et le menu king size avec veggie steakhouse sur ubereat jai reu a cest le menu mdium size et le burger nest pas vgtarien donc je ne peux pas le manger en plus je nai pas reu king fusion lion je suis du
01/2024,"Trs clairement se restaurant burger king confluence, jusqu maintenant je ne peux pas conseiller mieux vous tes excellent  par la salle pas ouf mais les rush doivent tres compliqu bon directeur sociable envers la clientle les",trs clairement se restaurant burger king confluence jusqu maintenant je ne peux pas conseiller mieux vous tes excellent par la salle pas ouf mais les rush doivent tres compliqu bon directeur sociable envers la clientle les
02/2024,"Les pires chili cheese mangs que jai mang.... Attente de 15 minutes pour 6 chilis, la fille seule et sans pression derrire alors que 3 htesses aux caisses devant. Manque de personnel en cuisine. La machine a sonn depuis 3 minutes, rsultat  chili surcuits, panure coeurante et dure... A fuir !",les pires chili cheese mangs que jai mang attente de minutes pour chilis la fille seule et sans pression derrire alors que htesses aux caisses devant manque de personnel en cuisine la machine a sonn depuis minutes rsultat chili surcuits panure coeurante et dure a fuir
04/2024,Un des meilleurs BK de la rgion ! Ractivit et sympathie du personnel. Merci  Malik pour son srieux et sa gentillesse.,un des meilleurs bk de la rgion ractivit et sympathie du personnel merci malik pour son srieux et sa gentillesse
06/2024,Ctait super et jai mang vraiment bien et ctait rapide,ctait super et jai mang vraiment bien et ctait rapide
01/2024,"Je ne note pas la nourriture, Burger King ont connais mais alors le lieu en lui mme.Catastrophique dj dentre pas moyens de trouver une table  peu prs propre, ensuite des pigeons se balade et dfquent a lintrieurComme je suis",je ne note pas la nourriture burger king ont connais mais alors le lieu en lui mmecatastrophique dj dentre pas moyens de trouver une table peu prs propre ensuite des pigeons se balade et dfquent a lintrieurcomme je suis
03/2024,"Le service tait plus que loooooong ! Nous avons attendu plus de 45 minutes pour tre servis, cest la guerre pour avoir une table, le sol colle de partout... Pour payer en caisse, on peut attendre longtemps, personne ne nous regarde, il",le service tait plus que loooooong nous avons attendu plus de minutes pour tre servis cest la guerre pour avoir une table le sol colle de partout pour payer en caisse on peut attendre longtemps personne ne nous regarde il
05/2024,"Service Trs rapide et magasin trs lumineux ! Le staff est souriant et trs aimable, merci pour a",service trs rapide et magasin trs lumineux le staff est souriant et trs aimable merci pour a
05/2024,Burger vege avec du vrai bacon dedans ? Inadmissible,burger vege avec du vrai bacon dedans inadmissible
01/2024,"Un des meilleurs fast food ou jai pu manger .Lieu super agrable ,nourriture top et les serveurs toujours trs agrable!Surtout une en particulier  Lena toujours de bonne humeur et avec le sourire .",un des meilleurs fast food ou jai pu manger lieu super agrable nourriture top et les serveurs toujours trs agrablesurtout une en particulier lena toujours de bonne humeur et avec le sourire
02/2024,Lamentable. A viter.45 min pour une commande. Allez au mc donald ou KFC. Lexcuse du responsable nous sommes que trois. Fuyez Burger King Confluence.MAJ la rponse de ce Burger King est lexemple du manque de service client et du jemenfoutisme de ce BK. Un copie coll des autres avis. Honteux,lamentable a viter min pour une commande allez au mc donald ou kfc lexcuse du responsable nous sommes que trois fuyez burger king confluencemaj la rponse de ce burger king est lexemple du manque de service client et du jemenfoutisme de ce bk un copie coll des autres avis honteux
01/2024,"trs bon restaurant, accueil incroyable de lena qui a su nous faire passer un agrable moment grce  son talent inn sa gentillesse et sa gnrosit, elle mriterait une augmentation !",trs bon restaurant accueil incroyable de lena qui a su nous faire passer un agrable moment grce son talent inn sa gentillesse et sa gnrosit elle mriterait une augmentation
06/2024,"En visite le 19 aot 2022 au alentour de 22h pour commander des glaces. Restaurant trs sale  avec une mauvaise odeur et   sol trs collant, dans l attende de notre commande nous voyons avec stupfactions que pratiquement aucune rgles d",en visite le aot au alentour de h pour commander des glaces restaurant trs sale avec une mauvaise odeur et sol trs collant dans l attende de notre commande nous voyons avec stupfactions que pratiquement aucune rgles d
03/2024,Toujours sympa de venir manger ici aprs un cin ou des achats au centre commercial.Personnel trs accueillant,toujours sympa de venir manger ici aprs un cin ou des achats au centre commercialpersonnel trs accueillant
01/2024,"Trs bon service !Pas de problme, tout sest trs bien droul.Un petit plus pour lquipire Lna qui a t trs trs trs agrable.",trs bon service pas de problme tout sest trs bien droulun petit plus pour lquipire lna qui a t trs trs trs agrable
