date,review
il y a 10 mois,"L'ambience est parfaite pour les groupes d'amis, et c'est ce que j'aime beaucoup moi, en plus de ça y a beaucoup de choix avec les menus et les boissons.
Merci beaucoup l'équipe de burger king 👑. …"
il y a 2 semaines,"Commande prise en charge très rapidement, plats chauds. Il y a des tables pour s'asseoir."
il y a 2 mois,"Personnel gentil et attentif. Le service a été très rapide.

C’était une bonne expérience :)"
il y a une semaine,Parfait trop bon j’adore le personnel
il y a 2 mois,"On nous as gentiment demandé de donner un avis , la personne qui demande les avis rien a dire par contre le cheddar sur les frites est inexistant on paye 1€30 de plus pour rien , quant au sandwichs un wrap et un Burger veggie , dans aucun …"
il y a 9 mois,"NE COMMANDEZ PLUS LEUR KINGFRIES !
Je commande régulièrement deliveroo chez ce BK et dans 90% des cas je reçois toujours des king fries, que je paye 2€ supplémentaires, avec quasiment rien sur le …"
il y a un mois,"Très bon moment, service super rapide et très agréable. Pour tout les fans de one piece , n’hésitez pas une décoration très plaisante!!"
il y a une semaine,Rapport qualité incroyable personnelle à l'écoute de nos besoins
il y a 2 semaines,"Service très rapide et personnel aimable, l'endroit est propre et chaleureux."
il y a une semaine,Accueil très chaleureux. Très bon service.
il y a 4 mois,"Parfait avant de prendre le bus à la gare routière de Bercy. Le lieu se trouve à 10 minutes de la gare.
Le service est rapide et le lieu est propre."
il y a 5 jours,"Restaurant pas très confortable, service rapide, assez petit"
il y a 2 mois,"Superbe lieu, service rapide et de qualité, personnel sympathique. Très bon rapport qualité prix."
il y a un mois,L’ambiance et le resto est très propre. A proximité des transports. Parfait pour une petite pause.
il y a un mois,Très beau restaurant personnel accueillant (notamment Darel) et le service super rapide
il y a une semaine,"Service rapide, employés avenants et nourriture bonne."
il y a un mois,"La nourriture y était infecte, peut-être dû au fait qu'il y avait ce week-end là du monde avec le tournoi de judo de Paris, mais pour autant je n'ai pas payé moins cher qu'en temps normal."
il y a un mois,C'était bien bon bien propre personnel aimable chaleureuse souriante attentionnée joyeuse (Sarah) surtout. Et pas cher Mcdo sur côté
il y a 6 jours,"Très bon et peu cher, service agréable"
il y a 2 ans,"Accueil cordial,

Agent de sécurité sympathique et professionnel, filtre et contrôle les pass …"
il y a un mois,"Très bon lieux, service très rapide.
Après une sortie a la patinoire un bon bk c'est bnf✌🏼😗 …"
il y a 2 semaines,"Service très rapide , employé très agréable et accueil eux ambiance très chaleureuse je recommande !!!!"
il y a 6 mois,"Super expérience à Burger King à chaque visite ! Leurs frites croustillantes, et le service est toujours sympathique. J'apprécie particulièrement leur ambiance musicale, qui est un vrai régal. C'est un endroit idéal pour satisfaire vos envies de fast-food et aussi pour travailler. Car je travaille sur mon ordinateur."
il y a un mois,Super Restaurant! Rapide et efficace ! Également très propre !! Je recommande
il y a un mois,"Je vais souvent à ce BK en sortant de la fac, le staff est sympathique et il n'y a pas trop de monde en soirée ce qui est agréable."
il y a un mois,"Très bon accueil, personnel cool, service rapide !"
il y a 6 jours,Personnel très agréable restaurant propre recommande
il y a un mois,Le service est rapide et efficace. Les gens sont aimables et professionnels. Option pour les végétariens.
il y a 2 semaines,Très bonne expérience culinaire et gustative. Merci pour ce service de haute qualité
il y a 2 mois,"Je recommande, atmosphère chaleureux, personnel accueillant et très bonne nourriture !!"
il y a 7 mois,Je n’ai jamais vu un burger king d’une tél rapidité. Sandwitch chaud et très bon. sarah est une serveuse en or
il y a une semaine,"Merci à l’équipe pour votre accueil
C’était incroyable !!!"
il y a 4 mois,"Atmosphère incroyable, conviviale et chaleureuse. Super serveur, merci à Darel pour son excellent service, mérite une augmentation."
il y a 2 semaines,J’aime beaucoup ce BK. On a bien mangé avec mon amie.
il y a une semaine,J'adore manger ici le vendredi avant te taper mon meilleur film
il y a un mois,"Restaurant propre,
Servit rapidement,
Toilettes convenable. …"
il y a 3 jours,Restaurant sympathique est service plus que correct.
il y a une semaine,Tout t’es bien carré dans l’axe vertical triangulaire et rectangulaire
il y a un mois,"Super service, rapide-efficace !!
Les sandwichs sont concoctés aux petits oignons ! …"
il y a 2 mois,Un burger king dans lequel je me rends de temps en temps et qui fonctionne bien. Même en temps de rush le personnel reste efficace et le restaurant reste propre. C'est pratique de déclancher la commande en click and collect!
il y a 5 mois,Cadre que je visite occasionnellement mais toujours aussi satisfaisant. Le personnel répond à mes attentes et offre un service qualitatif. Je recommande.
il y a une semaine,Service et temps d’attente très correct
il y a 4 mois,Beaucoup d'ambiance avec un serveur incroyable et aussi un service rapide et efficace et un lieu agréable pour manger surtout en été que ce soit sur Place ou Emporter
il y a un an,"Near the Seine River. Good view if eat outside.
Service is good and don't need to wait long.
—— …"
il y a une semaine,Super fast food personnel très agréable
il y a un mois,"Un très bon accueil, service hyper rapide et salle très propre."
il y a 3 semaines,Super agréables moment pour l’anniversaire de mathys j’ai pu manger en présence de nami grâce au burger one pièce et superbement accueilli Sarah la patron
il y a un mois,"Super coolos, produits délicieux et service très agréable ! À visiter de tout urgence"
il y a 2 semaines,"très bon service, une adresse incontournable pour mon groupe d'amies ^^"
il y a 2 semaines,"Super endroit, rapide et très bon."
il y a un mois,"Service très rapide et bon accueil, le menu one piece est de qualité, je recommande"
il y a un mois,"Première fois au Burger King de Bercy, très bon restaurant, articles très fidèles à leur images et je me suis régalé, personnel très gentil!"
il y a un mois,"Super expérience chez Burger King, merci de proposer des menus végétarien !

Et merci beaucoup à Darel pour sa gentillesse et professionnalisme"
il y a 3 semaines,Incroyable service chaud et rapide le membre du personnel est très serviable et agréable je recommande
il y a 3 semaines,"Service super rapide, master poulet très bon !
Bémol sur la propreté des toilettes…"
il y a 2 semaines,très bonne accueil rapide dans leurs profession je vous le conseille !! 😝 …
il y a 21 heures,Meilleur Burger King de Paname Y’a pas  débat
il y a 4 mois,"Très déçu, les burgers étaient très secs. Le pain devait dater de la veille ou de l’avant-veille ou de l’avant-avant-veille.
Il fallait sortir la loupe pour chercher le fromage. …"
il y a 2 jours,"Super Burger King, les gens sont super sympa et le repas très bon. Merci"
il y a un an,"Bonne expérience dans cet établissement, la carte est trés variée, avec de nouveaux burgers veggie. Le service est impeccable et les produits très bons ! …"
il y a 3 semaines,"Personnel agréable et souriant, la nourriture est servie rapidement et est bien chaude"
il y a 2 mois,Une ambiance chaleureuse avec un personnel agréable et sympathique ! On y mange bien ! Merci !
il y a 3 mois,"J'ai passé un très bon moment en compagnie avec mes copines. C'était bon, nous on mange souvent burger king quand on sait pas où manger globalement on est pas déçus. En tant qu'étudiante le prix des fast food au jour d'aujourd'hui est …"
il y a 4 mois,"L’Amérique s’importe en France.
Burger King se démarque de toute sa concurrence direct, avec notamment une carte divers et variés s’adaptant à tous les goûts. …"
il y a 2 semaines,C’est super accueil très agréable
il y a un mois,"Service de qualité, ingrédients frais, ambiance agréable, lieu propre, prix abordable…"
il y a un mois,Nous avons été servi très rapidement et la nourriture etait chaude et bonne
il y a 2 mois,Sa dit service à table pour finalement pas nous servir à table aigris comme jamais et on me regarde alors que je veux juste qu’on me refasse à wrap car servis froid
il y a 9 mois,Manque des trus dans mon menu et le king fries y’a presque rien dedans ça vaux pas son prix
il y a 2 mois,"J'y vais souvent, lieu très propre et service souriant. J'adore les woopers ."
il y a un mois,Un fast food bien entretenu avec du personnel sympa on en veut plus des comme ça ;)
il y a 2 jours,"Des bons burgers
Un bon service rapide et des alternatives végétariennes"
